license plate,brand,model,color,model year
GW602EM,Opel,Mokka,beige,2019
GW615FP,BMW,Serie 5,purple,2020
GW628GT,Mercedes,Classe C,red,2021
GW641HW,Audi,A4,blue,2022
GW654IZ,Honda,HR-V,white,2023
GW667JC,Hyundai,i30,black,2024
GW680KF,Kia,Ceed,grey,2005
GW693LI,Nissan,Qashqai,silver,2006
GW706ML,Seat,Leon,green,2007
GW719NO,Skoda,Octavia,yellow,2008
GW732OS,Volvo,V60,orange,2009
GW745PV,Mazda,CX-3,brown,2010
GW758RY,Suzuki,Ignis,beige,2011
GW771SB,Citroen,C5 Aircross,purple,2012
GW784TE,Dacia,Logan,red,2013
GW797UH,Alfa Romeo,Stelvio,blue,2014
GW810VK,Lancia,Ypsilon,white,2015
GW823WN,Jeep,Cherokee,black,2016
GX836XR,Mini,Clubman,grey,2017
GX849YU,Subaru,Outback,silver,2018
GX862ZX,Mitsubishi,Eclipse Cross,green,2019
GX875AA,Tesla,Model S,yellow,2020
GX888BD,Fiat,Tipo,orange,2021
GX901CG,Volkswagen,Tiguan,brown,2022
GX914DJ,Toyota,RAV4,beige,2023
GX927EM,Ford,Puma,purple,2024
GX940FP,Renault,Kadjar,red,2005
GX953GT,Peugeot,3008,blue,2006
GX966HW,Opel,Crossland,white,2007
GX979IZ,BMW,X1,black,2008
GX992JC,Mercedes,GLA,grey,2009
GX105KF,Audi,Q3,silver,2010
GX118LI,Honda,CR-V,green,2011
GX131ML,Hyundai,Tucson,yellow,2012
GX144NO,Kia,Sportage,orange,2013
GX157OS,Nissan,Leaf,brown,2014
GX170PV,Seat,Ateca,beige,2015
GX183RY,Skoda,Karoq,purple,2016
GX196SB,Volvo,XC60,red,2017
GX209TE,Mazda,CX-5,blue,2018
GX222UH,Suzuki,Baleno,white,2019
GX235VK,Citroen,Berlingo,black,2020
GX248WN,Dacia,Spring,grey,2021
GX261XR,Alfa Romeo,Tonale,silver,2022
GY274YU,Lancia,Ypsilon,green,2023
GY287ZX,Jeep,Wrangler,yellow,2024
GY300AA,Mini,Paceman,orange,2005
GY313BD,Subaru,XV,brown,2006
GY326CG,Mitsubishi,Outlander,beige,2007
GY339DJ,Tesla,Model X,purple,2008
GY352EM,Fiat,Punto,red,2009
GY365FP,Volkswagen,Golf,blue,2010
GY378GT,Toyota,Yaris,white,2011
GY391HW,Ford,Focus,black,2012
GY404IZ,Renault,Clio,grey,2013
GY417JC,Peugeot,208,silver,2014
GY430KF,Opel,Corsa,green,2015
GY443LI,BMW,Serie 1,yellow,2016
GY456ML,Mercedes,Classe A,orange,2017
GY469NO,Audi,A1,brown,2018
GY482OS,Honda,Civic,beige,2019
GY495PV,Hyundai,i10,purple,2020
GY508RY,Kia,Picanto,red,2021
GY521SB,Nissan,Micra,blue,2022
GY534TE,Seat,Ibiza,white,2023
GY547UH,Skoda,Fabia,black,2024
GY560VK,Volvo,V40,grey,2005
GY573WN,Mazda,2,silver,2006
GY586XR,Suzuki,Swift,green,2007
GY599YU,Citroen,C3,yellow,2008
GZ612ZX,Dacia,Sandero,orange,2009
GZ625AA,Alfa Romeo,Giulietta,brown,2010
GZ638BD,Lancia,Ypsilon,beige,2011
GZ651CG,Jeep,Renegade,purple,2012
GZ664DJ,Mini,Cooper,red,2013
GZ677EM,Subaru,Impreza,blue,2014
GZ690FP,Mitsubishi,Colt,white,2015
GZ703GT,Tesla,Model 3,black,2016
GZ716HW,Fiat,500,grey,2017
GZ729IZ,Volkswagen,Polo,silver,2018
GZ742JC,Toyota,Corolla,green,2019
GZ755KF,Ford,Fiesta,yellow,2020
GZ768LI,Renault,Megane,orange,2021
GZ781ML,Peugeot,308,brown,2022
GZ794NO,Opel,Astra,beige,2023
GZ807OS,BMW,Serie 3,purple,2024
GZ820PV,Mercedes,Classe B,red,2005
GZ833RY,Audi,A3,blue,2006
GZ846SB,Honda,Jazz,white,2007
GZ859TE,Hyundai,i20,black,2008
GZ872UH,Kia,Stonic,grey,2009
GZ885VK,Nissan,Juke,silver,2010
GZ898WN,Seat,Arona,green,2011
GZ911XR,Skoda,Scala,yellow,2012
GZ924YU,Volvo,XC40,orange,2013
GZ937ZX,Mazda,3,brown,2014
GA950AA,Suzuki,Vitara,beige,2015
GA963BD,Citroen,C4,purple,2016
GA976CG,Dacia,Duster,red,2017
GA989DJ,Alfa Romeo,Giulia,blue,2018
GA102EM,Lancia,Ypsilon,white,2019
GA115FP,Jeep,Compass,black,2020
GA128GT,Mini,Countryman,grey,2021
GA141HW,Subaru,Forester,silver,2022
GA154IZ,Mitsubishi,ASX,green,2023
GA167JC,Tesla,Model Y,yellow,2024
GA180KF,Fiat,Panda,orange,2005
GA193LI,Volkswagen,Passat,brown,2006
GA206ML,Toyota,Auris,beige,2007
GA219NO,Ford,Kuga,purple,2008
GA232OS,Renault,Captur,red,2009
GA245PV,Peugeot,2008,blue,2010
GA258RY,Opel,Mokka,white,2011
GA271SB,BMW,Serie 5,black,2012
GA284TE,Mercedes,Classe C,grey,2013
GA297UH,Audi,A4,silver,2014
GA310VK,Honda,HR-V,green,2015
GA323WN,Hyundai,i30,yellow,2016
GA336XR,Kia,Ceed,orange,2017
GA349YU,Nissan,Qashqai,brown,2018
GA362ZX,Seat,Leon,beige,2019
GA375AA,Skoda,Octavia,purple,2020
GB388BD,Volvo,V60,red,2021
GB401CG,Mazda,CX-3,blue,2022
GB414DJ,Suzuki,Ignis,white,2023
GB427EM,Citroen,C5 Aircross,black,2024
GB440FP,Dacia,Logan,grey,2005
GB453GT,Alfa Romeo,Stelvio,silver,2006
GB466HW,Lancia,Ypsilon,green,2007
GB479IZ,Jeep,Cherokee,yellow,2008
GB492JC,Mini,Clubman,orange,2009
GB505KF,Subaru,Outback,brown,2010
GB518LI,Mitsubishi,Eclipse Cross,beige,2011
GB531ML,Tesla,Model S,purple,2012
GB544NO,Fiat,Tipo,red,2013
GB557OS,Volkswagen,Tiguan,blue,2014
GB570PV,Toyota,RAV4,white,2015
GB583RY,Ford,Puma,black,2016
GB596SB,Renault,Kadjar,grey,2017
GB609TE,Peugeot,3008,silver,2018
GB622UH,Opel,Crossland,green,2019
GB635VK,BMW,X1,yellow,2020
GB648WN,Mercedes,GLA,orange,2021
GB661XR,Audi,Q3,brown,2022
GB674YU,Honda,CR-V,beige,2023
GB687ZX,Hyundai,Tucson,purple,2024
GB700AA,Kia,Sportage,red,2005
GB713BD,Nissan,Leaf,blue,2006
GC726CG,Seat,Ateca,white,2007
GC739DJ,Skoda,Karoq,black,2008
GC752EM,Volvo,XC60,grey,2009
GC765FP,Mazda,CX-5,silver,2010
GC778GT,Suzuki,Baleno,green,2011
GC791HW,Citroen,Berlingo,yellow,2012
GC804IZ,Dacia,Spring,orange,2013
GC817JC,Alfa Romeo,Tonale,brown,2014
GC830KF,Lancia,Ypsilon,beige,2015
GC843LI,Jeep,Wrangler,purple,2016
GC856ML,Mini,Paceman,red,2017
GC869NO,Subaru,XV,blue,2018
GC882OS,Mitsubishi,Outlander,white,2019
GC895PV,Tesla,Model X,black,2020
GC908RY,Fiat,Punto,grey,2021
GC921SB,Volkswagen,Golf,silver,2022
GC934TE,Toyota,Yaris,green,2023
GC947UH,Ford,Focus,yellow,2024
GC960VK,Renault,Clio,orange,2005
GC973WN,Peugeot,208,brown,2006
GC986XR,Opel,Corsa,beige,2007
GC999YU,BMW,Serie 1,purple,2008
GC112ZX,Mercedes,Classe A,red,2009
GC125AA,Audi,A1,blue,2010
GC138BD,Honda,Civic,white,2011
GC151CG,Hyundai,i10,black,2012
GD164DJ,Kia,Picanto,grey,2013
GD177EM,Nissan,Micra,silver,2014
GD190FP,Seat,Ibiza,green,2015
GD203GT,Skoda,Fabia,yellow,2016
GD216HW,Volvo,V40,orange,2017
GD229IZ,Mazda,2,brown,2018
GD242JC,Suzuki,Swift,beige,2019
GD255KF,Citroen,C3,purple,2020
GD268LI,Dacia,Sandero,red,2021
GD281ML,Alfa Romeo,Giulietta,blue,2022
GD294NO,Lancia,Ypsilon,white,2023
GD307OS,Jeep,Renegade,black,2024
GD320PV,Mini,Cooper,grey,2005
GD333RY,Subaru,Impreza,silver,2006
GD346SB,Mitsubishi,Colt,green,2007
GD359TE,Tesla,Model 3,yellow,2008
GD372UH,Fiat,500,orange,2009
GD385VK,Volkswagen,Polo,brown,2010
GD398WN,Toyota,Corolla,beige,2011
GD411XR,Ford,Fiesta,purple,2012
GD424YU,Renault,Megane,red,2013
GD437ZX,Peugeot,308,blue,2014
GD450AA,Opel,Astra,white,2015
GD463BD,BMW,Serie 3,black,2016
GD476CG,Mercedes,Classe B,grey,2017
GD489DJ,Audi,A3,silver,2018
GE502EM,Honda,Jazz,green,2019
GE515FP,Hyundai,i20,yellow,2020
GE528GT,Kia,Stonic,orange,2021
GE541HW,Nissan,Juke,brown,2022
GE554IZ,Seat,Arona,beige,2023
GE567JC,Skoda,Scala,purple,2024
GE580KF,Volvo,XC40,red,2005
GE593LI,Mazda,3,blue,2006
GE606ML,Suzuki,Vitara,white,2007
GE619NO,Citroen,C4,black,2008
GE632OS,Dacia,Duster,grey,2009
GE645PV,Alfa Romeo,Giulia,silver,2010
GE658RY,Lancia,Ypsilon,green,2011
GE671SB,Jeep,Compass,yellow,2012
GE684TE,Mini,Countryman,orange,2013
GE697UH,Subaru,Forester,brown,2014
GE710VK,Mitsubishi,ASX,beige,2015
GE723WN,Tesla,Model Y,purple,2016
GE736XR,Fiat,Panda,red,2017
GE749YU,Volkswagen,Passat,blue,2018
GE762ZX,Toyota,Auris,white,2019
GE775AA,Ford,Kuga,black,2020
GE788BD,Renault,Captur,grey,2021
GE801CG,Peugeot,2008,silver,2022
GE814DJ,Opel,Mokka,green,2023
GE827EM,BMW,Serie 5,yellow,2024
GF840FP,Mercedes,Classe C,orange,2005
GF853GT,Audi,A4,brown,2006
GF866HW,Honda,HR-V,beige,2007
GF879IZ,Hyundai,i30,purple,2008
GF892JC,Kia,Ceed,red,2009
GF905KF,Nissan,Qashqai,blue,2010
GF918LI,Seat,Leon,white,2011
GF931ML,Skoda,Octavia,black,2012
GF944NO,Volvo,V60,grey,2013
GF957OS,Mazda,CX-3,silver,2014
GF970PV,Suzuki,Ignis,green,2015
GF983RY,Citroen,C5 Aircross,yellow,2016
GF996SB,Dacia,Logan,orange,2017
GF109TE,Alfa Romeo,Stelvio,brown,2018
GF122UH,Lancia,Ypsilon,beige,2019
GF135VK,Jeep,Cherokee,purple,2020
GF148WN,Mini,Clubman,red,2021
GF161XR,Subaru,Outback,blue,2022
GF174YU,Mitsubishi,Eclipse Cross,white,2023
GF187ZX,Tesla,Model S,black,2024
GF200AA,Fiat,Tipo,grey,2005
GF213BD,Volkswagen,Tiguan,silver,2006
GF226CG,Toyota,RAV4,green,2007
GF239DJ,Ford,Puma,yellow,2008
GF252EM,Renault,Kadjar,orange,2009
GF265FP,Peugeot,3008,brown,2010
GG278GT,Opel,Crossland,beige,2011
GG291HW,BMW,X1,purple,2012
GG304IZ,Mercedes,GLA,red,2013
GG317JC,Audi,Q3,blue,2014
GG330KF,Honda,CR-V,white,2015
GG343LI,Hyundai,Tucson,black,2016
GG356ML,Kia,Sportage,grey,2017
GG369NO,Nissan,Leaf,silver,2018
GG382OS,Seat,Ateca,green,2019
GG395PV,Skoda,Karoq,yellow,2020
GG408RY,Volvo,XC60,orange,2021
GG421SB,Mazda,CX-5,brown,2022
GG434TE,Suzuki,Baleno,beige,2023
GG447UH,Citroen,Berlingo,purple,2024
GG460VK,Dacia,Spring,red,2005
GG473WN,Alfa Romeo,Tonale,blue,2006
GG486XR,Lancia,Ypsilon,white,2007
GG499YU,Jeep,Wrangler,black,2008
GG512ZX,Mini,Paceman,grey,2009
GG525AA,Subaru,XV,silver,2010
GG538BD,Mitsubishi,Outlander,green,2011
GG551CG,Tesla,Model X,yellow,2012
GG564DJ,Fiat,Punto,orange,2013
GG577EM,Volkswagen,Golf,brown,2014
GG590FP,Toyota,Yaris,beige,2015
GG603GT,Ford,Focus,purple,2016
HH616HW,Renault,Clio,red,2017
HH629IZ,Peugeot,208,blue,2018
HH642JC,Opel,Corsa,white,2019
HH655KF,BMW,Serie 1,black,2020
HH668LI,Mercedes,Classe A,grey,2021
HH681ML,Audi,A1,silver,2022
HH694NO,Honda,Civic,green,2023
HH707OS,Hyundai,i10,yellow,2024
HH720PV,Kia,Picanto,orange,2005
HH733RY,Nissan,Micra,brown,2006
HH746SB,Seat,Ibiza,beige,2007
HH759TE,Skoda,Fabia,purple,2008
HH772UH,Volvo,V40,red,2009
HH785VK,Mazda,2,blue,2010
HH798WN,Suzuki,Swift,white,2011
HH811XR,Citroen,C3,black,2012
HH824YU,Dacia,Sandero,grey,2013
HH837ZX,Alfa Romeo,Giulietta,silver,2014
HH850AA,Lancia,Ypsilon,green,2015
HH863BD,Jeep,Renegade,yellow,2016
HH876CG,Mini,Cooper,orange,2017
HH889DJ,Subaru,Impreza,brown,2018
HH902EM,Mitsubishi,Colt,beige,2019
HH915FP,Tesla,Model 3,purple,2020
HH928GT,Fiat,500,red,2021
HH941HW,Volkswagen,Polo,blue,2022
HI954IZ,Toyota,Corolla,white,2023
HI967JC,Ford,Fiesta,black,2024
HI980KF,Renault,Megane,grey,2005
HI993LI,Peugeot,308,silver,2006
HI106ML,Opel,Astra,green,2007
HI119NO,BMW,Serie 3,yellow,2008
HI132OS,Mercedes,Classe B,orange,2009
HI145PV,Audi,A3,brown,2010
HI158RY,Honda,Jazz,beige,2011
HI171SB,Hyundai,i20,purple,2012
HI184TE,Kia,Stonic,red,2013
HI197UH,Nissan,Juke,blue,2014
HI210VK,Seat,Arona,white,2015
HI223WN,Skoda,Scala,black,2016
HI236XR,Volvo,XC40,grey,2017
HI249YU,Mazda,3,silver,2018
HI262ZX,Suzuki,Vitara,green,2019
HI275AA,Citroen,C4,yellow,2020
HI288BD,Dacia,Duster,orange,2021
HI301CG,Alfa Romeo,Giulia,brown,2022
HI314DJ,Lancia,Ypsilon,beige,2023
HI327EM,Jeep,Compass,purple,2024
HI340FP,Mini,Countryman,red,2005
HI353GT,Subaru,Forester,blue,2006
HI366HW,Mitsubishi,ASX,white,2007
HI379IZ,Tesla,Model Y,black,2008
HJ392JC,Fiat,Panda,grey,2009
HJ405KF,Volkswagen,Passat,silver,2010
HJ418LI,Toyota,Auris,green,2011
HJ431ML,Ford,Kuga,yellow,2012
HJ444NO,Renault,Captur,orange,2013
HJ457OS,Peugeot,2008,brown,2014
HJ470PV,Opel,Mokka,beige,2015
HJ483RY,BMW,Serie 5,purple,2016
HJ496SB,Mercedes,Classe C,red,2017
HJ509TE,Audi,A4,blue,2018
HJ522UH,Honda,HR-V,white,2019
HJ535VK,Hyundai,i30,black,2020
HJ548WN,Kia,Ceed,grey,2021
HJ561XR,Nissan,Qashqai,silver,2022
HJ574YU,Seat,Leon,green,2023
HJ587ZX,Skoda,Octavia,yellow,2024
HJ600AA,Volvo,V60,orange,2005
HJ613BD,Mazda,CX-3,brown,2006
HJ626CG,Suzuki,Ignis,beige,2007
HJ639DJ,Citroen,C5 Aircross,purple,2008
HJ652EM,Dacia,Logan,red,2009
HJ665FP,Alfa Romeo,Stelvio,blue,2010
HJ678GT,Lancia,Ypsilon,white,2011
HJ691HW,Jeep,Cherokee,black,2012
HJ704IZ,Mini,Clubman,grey,2013
HJ717JC,Subaru,Outback,silver,2014
HK730KF,Mitsubishi,Eclipse Cross,green,2015
HK743LI,Tesla,Model S,yellow,2016
HK756ML,Fiat,Tipo,orange,2017
HK769NO,Volkswagen,Tiguan,brown,2018
HK782OS,Toyota,RAV4,beige,2019
HK795PV,Ford,Puma,purple,2020
HK808RY,Renault,Kadjar,red,2021
HK821SB,Peugeot,3008,blue,2022
HK834TE,Opel,Crossland,white,2023
HK847UH,BMW,X1,black,2024
HK860VK,Mercedes,GLA,grey,2005
HK873WN,Audi,Q3,silver,2006
HK886XR,Honda,CR-V,green,2007
HK899YU,Hyundai,Tucson,yellow,2008
HK912ZX,Kia,Sportage,orange,2009
HK925AA,Nissan,Leaf,brown,2010
HK938BD,Seat,Ateca,beige,2011
HK951CG,Skoda,Karoq,purple,2012
HK964DJ,Volvo,XC60,red,2013
HK977EM,Mazda,CX-5,blue,2014
HK990FP,Suzuki,Baleno,white,2015
HK103GT,Citroen,Berlingo,black,2016
HK116HW,Dacia,Spring,grey,2017
HK129IZ,Alfa Romeo,Tonale,silver,2018
HK142JC,Lancia,Ypsilon,green,2019
HK155KF,Jeep,Wrangler,yellow,2020
HL168LI,Mini,Paceman,orange,2021
HL181ML,Subaru,XV,brown,2022
HL194NO,Mitsubishi,Outlander,beige,2023
HL207OS,Tesla,Model X,purple,2024
HL220PV,Fiat,Punto,red,2005
HL233RY,Volkswagen,Golf,blue,2006
HL246SB,Toyota,Yaris,white,2007
HL259TE,Ford,Focus,black,2008
HL272UH,Renault,Clio,grey,2009
HL285VK,Peugeot,208,silver,2010
HL298WN,Opel,Corsa,green,2011
HL311XR,BMW,Serie 1,yellow,2012
HL324YU,Mercedes,Classe A,orange,2013
HL337ZX,Audi,A1,brown,2014
HL350AA,Honda,Civic,beige,2015
HL363BD,Hyundai,i10,purple,2016
HL376CG,Kia,Picanto,red,2017
HL389DJ,Nissan,Micra,blue,2018
HL402EM,Seat,Ibiza,white,2019
HL415FP,Skoda,Fabia,black,2020
HL428GT,Volvo,V40,grey,2021
HL441HW,Mazda,2,silver,2022
HL454IZ,Suzuki,Swift,green,2023
HL467JC,Citroen,C3,yellow,2024
HL480KF,Dacia,Sandero,orange,2005
HL493LI,Alfa Romeo,Giulietta,brown,2006
HM506ML,Lancia,Ypsilon,beige,2007
HM519NO,Jeep,Renegade,purple,2008
HM532OS,Mini,Cooper,red,2009
HM545PV,Subaru,Impreza,blue,2010
HM558RY,Mitsubishi,Colt,white,2011
HM571SB,Tesla,Model 3,black,2012
HM584TE,Fiat,500,grey,2013
HM597UH,Volkswagen,Polo,silver,2014
HM610VK,Toyota,Corolla,green,2015
HM623WN,Ford,Fiesta,yellow,2016
HM636XR,Renault,Megane,orange,2017
HM649YU,Peugeot,308,brown,2018
HM662ZX,Opel,Astra,beige,2019
HM675AA,BMW,Serie 3,purple,2020
HM688BD,Mercedes,Classe B,red,2021
HM701CG,Audi,A3,blue,2022
HM714DJ,Honda,Jazz,white,2023
HM727EM,Hyundai,i20,black,2024
HM740FP,Kia,Stonic,grey,2005
HM753GT,Nissan,Juke,silver,2006
HM766HW,Seat,Arona,green,2007
HM779IZ,Skoda,Scala,yellow,2008
HM792JC,Volvo,XC40,orange,2009
HM805KF,Mazda,3,brown,2010
HM818LI,Suzuki,Vitara,beige,2011
HM831ML,Citroen,C4,purple,2012
HN844NO,Dacia,Duster,red,2013
HN857OS,Alfa Romeo,Giulia,blue,2014
HN870PV,Lancia,Ypsilon,white,2015
HN883RY,Jeep,Compass,black,2016
HN896SB,Mini,Countryman,grey,2017
HN909TE,Subaru,Forester,silver,2018
HN922UH,Mitsubishi,ASX,green,2019
HN935VK,Tesla,Model Y,yellow,2020
HN948WN,Fiat,Panda,orange,2021
HN961XR,Volkswagen,Passat,brown,2022
HN974YU,Toyota,Auris,beige,2023
HN987ZX,Ford,Kuga,purple,2024
HN100AA,Renault,Captur,red,2005
HN113BD,Peugeot,2008,blue,2006
HN126CG,Opel,Mokka,white,2007
HN139DJ,BMW,Serie 5,black,2008
HN152EM,Mercedes,Classe C,grey,2009
HN165FP,Audi,A4,silver,2010
HN178GT,Honda,HR-V,green,2011
HN191HW,Hyundai,i30,yellow,2012
HN204IZ,Kia,Ceed,orange,2013
HN217JC,Nissan,Qashqai,brown,2014
HN230KF,Seat,Leon,beige,2015
HN243LI,Skoda,Octavia,purple,2016
HN256ML,Volvo,V60,red,2017
HN269NO,Mazda,CX-3,blue,2018
HO282OS,Suzuki,Ignis,white,2019
HO295PV,Citroen,C5 Aircross,black,2020
HO308RY,Dacia,Logan,grey,2021
HO321SB,Alfa Romeo,Stelvio,silver,2022
HO334TE,Lancia,Ypsilon,green,2023
HO347UH,Jeep,Cherokee,yellow,2024
HO360VK,Mini,Clubman,orange,2005
HO373WN,Subaru,Outback,brown,2006
HO386XR,Mitsubishi,Eclipse Cross,beige,2007
HO399YU,Tesla,Model S,purple,2008
HO412ZX,Fiat,Tipo,red,2009
HO425AA,Volkswagen,Tiguan,blue,2010
HO438BD,Toyota,RAV4,white,2011
HO451CG,Ford,Puma,black,2012
HO464DJ,Renault,Kadjar,grey,2013
HO477EM,Peugeot,3008,silver,2014
HO490FP,Opel,Crossland,green,2015
HO503GT,BMW,X1,yellow,2016
HO516HW,Mercedes,GLA,orange,2017
HO529IZ,Audi,Q3,brown,2018
HO542JC,Honda,CR-V,beige,2019
HO555KF,Hyundai,Tucson,purple,2020
HO568LI,Kia,Sportage,red,2021
HO581ML,Nissan,Leaf,blue,2022
HO594NO,Seat,Ateca,white,2023
HO607OS,Skoda,Karoq,black,2024
HP620PV,Volvo,XC60,grey,2005
HP633RY,Mazda,CX-5,silver,2006
HP646SB,Suzuki,Baleno,green,2007
HP659TE,Citroen,Berlingo,yellow,2008
HP672UH,Dacia,Spring,orange,2009
HP685VK,Alfa Romeo,Tonale,brown,2010
HP698WN,Lancia,Ypsilon,beige,2011
HP711XR,Jeep,Wrangler,purple,2012
HP724YU,Mini,Paceman,red,2013
HP737ZX,Subaru,XV,blue,2014
HP750AA,Mitsubishi,Outlander,white,2015
HP763BD,Tesla,Model X,black,2016
HP776CG,Fiat,Punto,grey,2017
HP789DJ,Volkswagen,Golf,silver,2018
HP802EM,Toyota,Yaris,green,2019
HP815FP,Ford,Focus,yellow,2020
HP828GT,Renault,Clio,orange,2021
HP841HW,Peugeot,208,brown,2022
HP854IZ,Opel,Corsa,beige,2023
HP867JC,BMW,Serie 1,purple,2024
HP880KF,Mercedes,Classe A,red,2005
HP893LI,Audi,A1,blue,2006
HP906ML,Honda,Civic,white,2007
HP919NO,Hyundai,i10,black,2008
HP932OS,Kia,Picanto,grey,2009
HP945PV,Nissan,Micra,silver,2010
HR958RY,Seat,Ibiza,green,2011
HR971SB,Skoda,Fabia,yellow,2012
HR984TE,Volvo,V40,orange,2013
HR997UH,Mazda,2,brown,2014
HR110VK,Suzuki,Swift,beige,2015
HR123WN,Citroen,C3,purple,2016
HR136XR,Dacia,Sandero,red,2017
HR149YU,Alfa Romeo,Giulietta,blue,2018
HR162ZX,Lancia,Ypsilon,white,2019
HR175AA,Jeep,Renegade,black,2020
HR188BD,Mini,Cooper,grey,2021
HR201CG,Subaru,Impreza,silver,2022
HR214DJ,Mitsubishi,Colt,green,2023
HR227EM,Tesla,Model 3,yellow,2024
HR240FP,Fiat,500,orange,2005
HR253GT,Volkswagen,Polo,brown,2006
HR266HW,Toyota,Corolla,beige,2007
HR279IZ,Ford,Fiesta,purple,2008
HR292JC,Renault,Megane,red,2009
HR305KF,Peugeot,308,blue,2010
HR318LI,Opel,Astra,white,2011
HR331ML,BMW,Serie 3,black,2012
HR344NO,Mercedes,Classe B,grey,2013
HR357OS,Audi,A3,silver,2014
HR370PV,Honda,Jazz,green,2015
HR383RY,Hyundai,i20,yellow,2016
HS396SB,Kia,Stonic,orange,2017
HS409TE,Nissan,Juke,brown,2018
HS422UH,Seat,Arona,beige,2019
HS435VK,Skoda,Scala,purple,2020
HS448WN,Volvo,XC40,red,2021
HS461XR,Mazda,3,blue,2022
HS474YU,Suzuki,Vitara,white,2023
HS487ZX,Citroen,C4,black,2024
HS500AA,Dacia,Duster,grey,2005
HS513BD,Alfa Romeo,Giulia,silver,2006
HS526CG,Lancia,Ypsilon,green,2007
HS539DJ,Jeep,Compass,yellow,2008
HS552EM,Mini,Countryman,orange,2009
HS565FP,Subaru,Forester,brown,2010
HS578GT,Mitsubishi,ASX,beige,2011
HS591HW,Tesla,Model Y,purple,2012
HS604IZ,Fiat,Panda,red,2013
HS617JC,Volkswagen,Passat,blue,2014
HS630KF,Toyota,Auris,white,2015
HS643LI,Ford,Kuga,black,2016
HS656ML,Renault,Captur,grey,2017
HS669NO,Peugeot,2008,silver,2018
HS682OS,Opel,Mokka,green,2019
HS695PV,BMW,Serie 5,yellow,2020
HS708RY,Mercedes,Classe C,orange,2021
HS721SB,Audi,A4,brown,2022
HT734TE,Honda,HR-V,beige,2023
HT747UH,Hyundai,i30,purple,2024
HT760VK,Kia,Ceed,red,2005
HT773WN,Nissan,Qashqai,blue,2006
HT786XR,Seat,Leon,white,2007
HT799YU,Skoda,Octavia,black,2008
HT812ZX,Volvo,V60,grey,2009
HT825AA,Mazda,CX-3,silver,2010
HT838BD,Suzuki,Ignis,green,2011
HT851CG,Citroen,C5 Aircross,yellow,2012
HT864DJ,Dacia,Logan,orange,2013
HT877EM,Alfa Romeo,Stelvio,brown,2014
HT890FP,Lancia,Ypsilon,beige,2015
HT903GT,Jeep,Cherokee,purple,2016
HT916HW,Mini,Clubman,red,2017
HT929IZ,Subaru,Outback,blue,2018
HT942JC,Mitsubishi,Eclipse Cross,white,2019
HT955KF,Tesla,Model S,black,2020
HT968LI,Fiat,Tipo,grey,2021
HT981ML,Volkswagen,Tiguan,silver,2022
HT994NO,Toyota,RAV4,green,2023
HT107OS,Ford,Puma,yellow,2024
HT120PV,Renault,Kadjar,orange,2005
HT133RY,Peugeot,3008,brown,2006
HT146SB,Opel,Crossland,beige,2007
HT159TE,BMW,X1,purple,2008
HU172UH,Mercedes,GLA,red,2009
HU185VK,Audi,Q3,blue,2010
HU198WN,Honda,CR-V,white,2011
HU211XR,Hyundai,Tucson,black,2012
HU224YU,Kia,Sportage,grey,2013
HU237ZX,Nissan,Leaf,silver,2014
HU250AA,Seat,Ateca,green,2015
HU263BD,Skoda,Karoq,yellow,2016
HU276CG,Volvo,XC60,orange,2017
HU289DJ,Mazda,CX-5,brown,2018
HU302EM,Suzuki,Baleno,beige,2019
HU315FP,Citroen,Berlingo,purple,2020
HU328GT,Dacia,Spring,red,2021
HU341HW,Alfa Romeo,Tonale,blue,2022
HU354IZ,Lancia,Ypsilon,white,2023
HU367JC,Jeep,Wrangler,black,2024
HU380KF,Mini,Paceman,grey,2005
HU393LI,Subaru,XV,silver,2006
HU406ML,Mitsubishi,Outlander,green,2007
HU419NO,Tesla,Model X,yellow,2008
HU432OS,Fiat,Punto,orange,2009
HU445PV,Volkswagen,Golf,brown,2010
HU458RY,Toyota,Yaris,beige,2011
HU471SB,Ford,Focus,purple,2012
HU484TE,Renault,Clio,red,2013
HU497UH,Peugeot,208,blue,2014
HV510VK,Opel,Corsa,white,2015
HV523WN,BMW,Serie 1,black,2016
HV536XR,Mercedes,Classe A,grey,2017
HV549YU,Audi,A1,silver,2018
HV562ZX,Honda,Civic,green,2019
HV575AA,Hyundai,i10,yellow,2020
HV588BD,Kia,Picanto,orange,2021
HV601CG,Nissan,Micra,brown,2022
HV614DJ,Seat,Ibiza,beige,2023
HV627EM,Skoda,Fabia,purple,2024
HV640FP,Volvo,V40,red,2005
HV653GT,Mazda,2,blue,2006
HV666HW,Suzuki,Swift,white,2007
HV679IZ,Citroen,C3,black,2008
HV692JC,Dacia,Sandero,grey,2009
HV705KF,Alfa Romeo,Giulietta,silver,2010
HV718LI,Lancia,Ypsilon,green,2011
HV731ML,Jeep,Renegade,yellow,2012
HV744NO,Mini,Cooper,orange,2013
HV757OS,Subaru,Impreza,brown,2014
HV770PV,Mitsubishi,Colt,beige,2015
HV783RY,Tesla,Model 3,purple,2016
HV796SB,Fiat,500,red,2017
HV809TE,Volkswagen,Polo,blue,2018
HV822UH,Toyota,Corolla,white,2019
HV835VK,Ford,Fiesta,black,2020
HW848WN,Renault,Megane,grey,2021
HW861XR,Peugeot,308,silver,2022
HW874YU,Opel,Astra,green,2023
